Date,Mars Ecliptic Longitude (deg),Sun Ecliptic Longitude (deg),Angular Separation (deg),Visible at Night
2011-04-25,17.45967568595227,34.29526569230352,16.835590006351254,True
2011-04-26,18.225008937572152,35.269152684225276,17.044143746653123,True
2011-04-27,18.989654321254267,36.242597972992634,17.252943651738367,True
2011-04-28,19.75359998966793,37.21560023744253,17.4620002477746,True
2011-04-29,20.516833571070357,38.18815648474858,17.671322913678225,True
2011-04-30,21.27934227346994,39.16026225941131,17.88091998594137,True
2011-05-01,22.04111296496396,40.131911777566145,18.090798812602184,True
2011-05-02,22.802132256583203,41.10309804229788,18.300965785714677,True
2011-05-03,23.562386608517603,42.07381299019542,18.51142638167782,True
2011-05-04,24.321862473025817,43.044047707565646,18.72218523453983,True
2011-05-05,25.080546478767985,44.01379273863633,18.933246259868348,True
2011-05-06,25.838425653393116,44.98303849099672,19.144612837603603,True
2011-05-07,26.59548767591557,45.95177573008426,19.356288054168687,True
2011-05-08,27.351721149015795,46.919996148938445,19.56827499992265,True
2011-05-09,28.107115883334348,47.88769300266991,19.780577119335565,True
2011-05-10,28.861663188084165,48.854861804576466,19.9931986164923,True
2011-05-11,29.615356159930627,49.82150108220203,20.206144922271406,True
2011-05-12,30.368189950010777,50.787613173209664,20.419423223198887,True
2011-05-13,31.1201619652476,51.753204991899196,20.633043026651595,True
2011-05-14,31.871271930622513,52.718288620482326,20.847016689859814,True
2011-05-15,32.621521721380645,53.68288150493256,21.061359783551914,True
2011-05-16,33.37091489441358,54.64700602374606,21.276091129332478,True
2011-05-17,34.119455923346734,55.61068831077282,21.491232387426088,True
2011-05-18,34.867149253624895,56.57395644912804,21.706807195503146,True
2011-05-19,35.61399838182204,57.53683840454915,21.922840022727108,True
2011-05-20,36.360005164937895,58.49936017493234,22.139355009994446,True
2011-05-21,37.10516947356519,59.461544523036395,22.356375049471204,True
2011-05-22,37.84948917602489,60.4234104103496,22.573921234324708,True
2011-05-23,38.59296035019377,61.38497301700476,22.79201266681099,True
2011-05-24,39.33557759569186,62.34624411702349,23.01066652133163,True
2011-05-25,40.07733434515609,63.30723258126704,23.229898236110948,True
2011-05-26,40.818223117235696,64.26794484713685,23.44972172990115,True
2011-05-27,41.55823569277263,65.22838527115923,23.6701495783866,True
2011-05-28,42.29736322151547,66.1885563415171,23.89119312000163,True
2011-05-29,43.035596281136776,67.14845876798718,24.112862486850403,True
2011-05-30,43.772924917340646,68.10809149191407,24.33516657457342,True
2011-05-31,44.50933869637394,69.06745167460303,24.558112978229097,True
2011-06-01,45.2448268000541,70.02653473110102,24.781707931046924,True
2011-06-02,45.97937818772375,70.98533447613438,25.00595628841063,True
2011-06-03,46.71298183845518,71.94384343664495,25.230861598189776,True
2011-06-04,47.44562707108941,72.90205335951903,25.45642628842962,True
2011-06-05,48.177303922599535,73.8599559077515,25.682651985151963,True
2011-06-06,48.9080035518628,74.81754350324793,25.909539951385135,True
2011-06-07,49.63771863026491,75.77481025093493,26.137091620670027,True
2011-06-08,50.366443682739124,76.73175287212115,26.365309189382025,True
2011-06-09,51.094175348338105,77.68837157977455,26.59419623143645,True
2011-06-10,51.82091253201211,78.64467083110046,26.823758299088347,True
2011-06-11,52.54665641606169,79.60065988167213,27.054003465610442,True
2011-06-12,53.271410295322916,80.55635304187864,27.28494274655572,True
2011-06-13,53.995179206294786,81.51176952158357,27.516590315288788,True
2011-06-14,54.71796934929106,82.46693277590634,27.748963426615283,True
2011-06-15,55.43978735505471,83.42186935585433,27.982082000799615,True
2011-06-16,56.16063950395005,84.37660740411282,28.215967900162767,True
2011-06-17,56.88053103448968,85.33117505553989,28.45064402105021,True
2011-06-18,57.599465656079246,86.28559903340626,28.68613337732701,True
